"symbol","ensembl","log2FoldChange","padj","significance"
"JADE1","ENSG00000077684",-0.675012962025516,1.71031576979709e-11,"NS"
"FAM111B","ENSG00000189057",1.91962091071271,1.845983125713e-11,"Up"
"TTLL7","ENSG00000137941",2.32075097748621,1.85604990563284e-11,"Up"
NA,"ENSG00000211673",3.41688462191362,2.17150402912829e-11,"Up"
"MRPL37","ENSG00000116221",0.475897237502795,2.21970320381328e-11,"NS"
"IGHV4-28","ENSG00000211952",2.2988252457202,2.23199925708464e-11,"Up"
"CRLF3","ENSG00000176390",-0.655589466456903,2.26525472626937e-11,"NS"
"CRELD2","ENSG00000184164",0.903432586576884,2.36222120757784e-11,"NS"
NA,"ENSG00000279799",0.980508165520451,2.3981142790204e-11,"NS"
"PDIA4","ENSG00000155660",0.976851374235666,2.3981142790204e-11,"NS"
"CTNNAL1","ENSG00000119326",1.89634036006655,2.41153091949431e-11,"Up"
"PRDX5","ENSG00000126432",0.629786633934625,2.41153091949431e-11,"NS"
"SMOX","ENSG00000088826",1.77847210711898,2.41153091949431e-11,"Up"
"UFD1","ENSG00000070010",0.507941350883544,2.44827247181348e-11,"NS"
"EGFL7","ENSG00000172889",2.19528101834172,2.49235668152177e-11,"Up"
"ZNF773","ENSG00000152439",-1.06600986025086,2.49235668152177e-11,"Down"
"ACOXL","ENSG00000153093",3.59136424813753,2.55451407015009e-11,"Up"
"IGHV1-14","ENSG00000253709",6.70460979268141,2.59594072760814e-11,"Up"
"H1-3","ENSG00000124575",1.3845983775372,3.25359580306881e-11,"Up"
"MCM6","ENSG00000076003",1.03083048154239,3.55833580587757e-11,"Up"
"KIF23","ENSG00000137807",1.85865896010637,4.03426500244843e-11,"Up"
"LIMS1","ENSG00000169756",0.959201269823966,4.07938421439025e-11,"NS"
"IGHV1-2","ENSG00000211934",3.30548826027069,4.56078865044602e-11,"Up"
"IGLV1-47","ENSG00000211648",3.02888004552891,4.72773627146535e-11,"Up"
"PDIA6","ENSG00000143870",0.958296983836603,4.85868673751041e-11,"NS"
"CRAT","ENSG00000095321",0.776035111509673,5.50809020933169e-11,"NS"
"IGLV2-11","ENSG00000211668",3.08433052298905,5.55605741170257e-11,"Up"
"MYL6","ENSG00000092841",0.496083279091306,5.67885704822986e-11,"NS"
"IGLV4-69","ENSG00000211637",3.11994589289045,5.84737262096615e-11,"Up"
"IGLV1-51","ENSG00000211644",3.52549775153916,6.68846012288869e-11,"Up"
"TREML1","ENSG00000161911",2.2915910664266,6.9848866586495e-11,"Up"
"GMPR","ENSG00000137198",2.16813362026595,7.16600457240263e-11,"Up"
"PDCD6","ENSG00000249915",-0.834549858888309,7.20413987021898e-11,"NS"
"DCPS","ENSG00000110063",0.675539080062616,7.20413987021898e-11,"NS"
"HCP5","ENSG00000206337",-1.17670774491835,7.41683804444867e-11,"Down"
"TAGAP-AS1","ENSG00000271913",-1.03006225449333,8.10378469045341e-11,"Down"
"IGHV1-69-2","ENSG00000281990",5.60384122386085,8.50974109381461e-11,"Up"
"KIF18B","ENSG00000186185",2.74941005972379,8.51404047477159e-11,"Up"
"CENPW","ENSG00000203760",1.37132033645397,9.04380703906838e-11,"Up"
"MRPL28","ENSG00000086504",0.544575186632577,9.04380703906838e-11,"NS"
"CSRNP2","ENSG00000110925",-0.718317232478573,9.34239852305815e-11,"NS"
"GAS6","ENSG00000183087",1.6624564799826,9.58224547348754e-11,"Up"
"STOML2","ENSG00000165283",0.460168693399944,9.83282661032293e-11,"NS"
"HMGB2","ENSG00000164104",1.05535193934176,1.10954272321369e-10,"Up"
"AURKA","ENSG00000087586",1.34657593014845,1.12985577950855e-10,"Up"
"IGLV1-36","ENSG00000211655",2.84446793760085,1.17095344424799e-10,"Up"
"PPARG","ENSG00000132170",3.19357029195024,1.17840112964052e-10,"Up"
"COMMD7","ENSG00000149600",0.380707123743059,1.21311295792506e-10,"NS"
"UBE2T","ENSG00000077152",1.43662094397664,1.23853934719121e-10,"Up"
"MANF","ENSG00000145050",1.16703409016542,1.30825286976441e-10,"Up"
"LGALS1","ENSG00000100097",1.18348601441188,1.3762095104795e-10,"Up"
"COQ8A","ENSG00000163050",-0.592395248450123,1.38645119305536e-10,"NS"
"IGKV3D-11","ENSG00000211632",2.67545336204781,1.40553805081981e-10,"Up"
"H2BC7","ENSG00000277224",2.2626065164324,1.46511963325612e-10,"Up"
"PSMA6","ENSG00000100902",0.81835046418833,1.469193579911e-10,"NS"
"NPC1","ENSG00000141458",-0.650391160870701,1.469193579911e-10,"NS"
"DESI1","ENSG00000100418",0.566522123547024,1.469193579911e-10,"NS"
"BHLHA15","ENSG00000180535",3.25874340496676,1.51407383103056e-10,"Up"
"MTFR2","ENSG00000146410",1.92261131111724,1.89247165210213e-10,"Up"
"POLE2","ENSG00000100479",2.0453706975572,1.92965764646429e-10,"Up"
"FABP5","ENSG00000164687",1.24506062823874,1.93851748347305e-10,"Up"
"IGHV2-5","ENSG00000211937",2.66078313028702,1.95958058783414e-10,"Up"
"PIF1","ENSG00000140451",1.56167151424911,2.00655221684032e-10,"Up"
"ARHGAP18","ENSG00000146376",0.886357771533595,2.06889553414142e-10,"NS"
"LINC01482","ENSG00000267659",3.01638624965608,2.20293758697868e-10,"Up"
"TRIM58","ENSG00000162722",2.36680165885606,2.24754279713602e-10,"Up"
"IGKV2-30","ENSG00000243238",3.36447856154879,2.52936788220846e-10,"Up"
"IGHV3-20","ENSG00000211946",3.50239901133002,2.5514690621122e-10,"Up"
"COX5A","ENSG00000178741",0.659096341302049,2.5514690621122e-10,"NS"
"C2CD2L","ENSG00000172375",-0.487747564458476,2.81837690051894e-10,"NS"
"STMN1","ENSG00000117632",1.42475892374998,3.32698296827799e-10,"Up"
"MAD2L1","ENSG00000164109",1.44513897056854,3.60288166909037e-10,"Up"
"SCAF8","ENSG00000213079",-0.500446916157024,3.74686652238351e-10,"NS"
"SLC35B1","ENSG00000121073",0.656753129751718,3.74686652238351e-10,"NS"
"IGKV2D-40","ENSG00000251039",3.38175596908169,3.91042663620213e-10,"Up"
"H2AC13","ENSG00000196747",1.94792647007867,3.94235195730705e-10,"Up"
